,Aeon,NTUC,,,
Tissue Paper (Housebrand),TOPVALU Virgin Pulp Facial Tissue 3-Ply - 4 x 120 sheets,FairPrice Facial Tissue Box (3ply) - 4 x 140 per pack,,,
,"RM 11.50 ($3.56, or $0.792 per 100 tissues)",$5.00 ($0.893 per 100 tissues),,,
Eggs,Classic 10 medium eggs,SmartChoice 10 Fresh Eggs,,,
,RM 7.20 ($2.25),$2.85,,,
Instant noodles ,Indomie Mi Goreng Asli x 5,Indomie Mi Goreng Asli x 5,,,
,RM 5.81 ($1.81),$2.60,,,
Whole fresh chicken,Whole Chicken Without Head & Feet1.9 - 2 kgRM 19.80,Chicken Story Fresh Chicken Whole 1.2kg,,,
,"RM 19.80 (assuming 2kg, per kilo it is $3.06)",$11.90 ($9.92/kilo),,,
Bread ,GARDENIA - Delicia Choco Raisin,You can't get it in Singapore! (A raisin loaf from the same brand in Singapore costs:),,,
,RM 5.50 ($1.70),$3.70,,,
"On the way back, you pump gas ",Lower-grade petrol: RM2.05/liter ($0.63),$2.70/liter,,,
