,Entering Singapore from JB at Woodlands,Entering JB from Singapore at Woodlands ,Entering Singapore from JB at Jurong ,Entering JB from Singapore at Jurong 
Friday 13 Jan,,,,
17:00,Jammed,Jammed,Jammed,No jam and supermarket is open
18:00,Jammed,Jammed,Jammed,No jam and supermarket is open
19:00,No jam ,No jam and supermarket is open,Jammed,No jam and supermarket is open
20:00,No jam ,Jammed,Jammed,No jam and supermarket is open
21:00,No jam ,No jam and supermarket is open,Jammed,No jam and supermarket is open
22:00,No jam ,Jammed,No jam ,No jam 
23:00,No jam ,Jammed,No jam ,No jam 
Saturday 14 Jan,,,,
0:00,No jam ,No jam ,No jam ,No jam 
1:00,No jam ,No jam ,No jam ,No jam 
2:00,No jam ,No jam ,No jam ,No jam 
3:00,No jam ,No jam ,No jam ,No jam 
4:00,No jam ,No jam ,No jam ,No jam 
5:00,No jam ,No jam ,No jam ,No jam 
6:00,No jam ,No jam ,No jam ,No jam 
7:00,No jam ,Jammed,No jam ,No jam 
8:00,Jammed,Jammed,No jam ,No jam 
9:00,Jammed,Jammed,No jam ,No jam 
10:00,Jammed,Jammed,Jammed,No jam and supermarket is open
11:00,Jammed,No jam and supermarket is open,Jammed,No jam and supermarket is open
12:00,No jam ,Jammed,No jam ,No jam and supermarket is open
13:00,No jam ,No jam and supermarket is open,No jam ,No jam and supermarket is open
14:00,No jam ,No jam and supermarket is open,No jam ,No jam and supermarket is open
15:00,Jammed,No jam and supermarket is open,No jam ,No jam and supermarket is open
16:00,Jammed,No jam and supermarket is open,Jammed,No jam and supermarket is open
17:00,Jammed,No jam and supermarket is open,Jammed,No jam and supermarket is open
18:00,Jammed,Jammed,Jammed,No jam and supermarket is open
19:00,No jam ,No jam and supermarket is open,Jammed,No jam and supermarket is open
20:00,No jam ,No jam and supermarket is open,No jam ,No jam and supermarket is open
21:00,Jammed,No jam and supermarket is open,No jam ,No jam and supermarket is open
22:00,Jammed,No jam ,No jam ,No jam 
23:00,Jammed,No jam ,No jam ,No jam 
Sunday 15 Jan,,,,
0:00,No jam ,No jam ,Jammed,No jam 
1:00,Jammed,No jam ,Jammed,Jammed
2:00,No jam ,No jam ,No jam ,No jam 
3:00,Jammed,No jam ,No jam ,No jam 
4:00,Jammed,No jam ,No jam ,No jam 
5:00,No jam ,No jam ,No jam ,No jam 
6:00,No jam ,No jam ,No jam ,No jam 
7:00,No jam ,No jam ,No jam ,No jam 
8:00,No jam ,No jam ,No jam ,No jam 
9:00,Jammed,No jam ,No jam ,No jam 
10:00,Jammed,No jam and supermarket is open,Jammed,No jam and supermarket is open
11:00,Jammed,No jam and supermarket is open,Jammed,No jam and supermarket is open
12:00,Jammed,No jam and supermarket is open,Jammed,No jam and supermarket is open
13:00,Jammed,No jam and supermarket is open,No jam ,No jam and supermarket is open
14:00,Jammed,No jam and supermarket is open,Jammed,No jam and supermarket is open
15:00,Jammed,No jam and supermarket is open,Jammed,No jam and supermarket is open
16:00,Jammed,No jam and supermarket is open,Jammed,No jam and supermarket is open
17:00,Jammed,No jam and supermarket is open,No jam ,No jam and supermarket is open
18:00,Jammed,No jam and supermarket is open,Jammed,No jam and supermarket is open
19:00,No jam ,No jam and supermarket is open,No jam ,No jam and supermarket is open
20:00,No jam ,No jam and supermarket is open,Jammed,No jam and supermarket is open
21:00,No jam ,No jam and supermarket is open,No jam ,No jam and supermarket is open
22:00,No jam ,No jam ,No jam ,No jam 
23:00,Jammed,No jam ,No jam ,No jam 
Monday 16 Jan,,,,
0:00,Jammed,No jam ,No jam ,No jam 
1:00,No jam ,No jam ,Jammed,No jam 
2:00,No jam ,No jam ,Jammed,No jam 
3:00,No jam ,No jam ,Jammed,No jam 
4:00,No jam ,No jam ,Jammed,No jam 
5:00,No jam ,No jam ,No jam ,No jam 
